"/Users/rwikkamilya/MSc/Computational Creativity/computational_creativity_group_ass_1/.venv/bin/python" /Users/rwikkamilya/MSc/Computational Creativity/computational_creativity_group_ass_1/src/run_ga.py 
[Gen 227] best=0.8281  mean=0.6570
[Gen 228] best=0.8281  mean=0.7081
[Gen 229] best=0.8281  mean=0.6487
[Gen 230] best=0.8281  mean=0.6431
[Gen 231] best=0.8281  mean=0.6655
[Gen 232] best=0.8281  mean=0.6790
[Gen 233] best=0.8281  mean=0.6693
[Gen 234] best=0.8281  mean=0.6353
[Gen 235] best=0.8281  mean=0.6037
[Gen 236] best=0.8281  mean=0.6121
[Gen 237] best=0.8281  mean=0.6045
[Gen 238] best=0.8281  mean=0.6783
[Gen 239] best=0.8281  mean=0.6137
[Gen 240] best=0.8281  mean=0.5953
[Gen 241] best=0.8281  mean=0.6333
[Gen 242] best=0.8281  mean=0.6318
[Gen 243] best=0.8281  mean=0.6829
[Gen 244] best=0.8281  mean=0.6172
[Gen 245] best=0.8281  mean=0.6384
[Gen 246] best=0.8281  mean=0.6387
[Gen 247] best=0.8281  mean=0.6494
[Gen 248] best=0.8281  mean=0.6323
[Gen 249] best=0.8281  mean=0.6728
[Gen 250] best=0.8281  mean=0.6278
[Gen 251] best=0.8281  mean=0.6380
[Gen 252] best=0.8281  mean=0.6097
[Gen 253] best=0.8281  mean=0.6338
[Gen 254] best=0.8281  mean=0.6841
[Gen 255] best=0.8281  mean=0.6629
[Gen 256] best=0.8281  mean=0.6648
[Gen 257] best=0.8281  mean=0.6671
[Gen 258] best=0.8281  mean=0.6612
[Gen 259] best=0.8281  mean=0.6334
[Gen 260] best=0.8281  mean=0.6738
[Gen 261] best=0.8281  mean=0.6020
[Gen 262] best=0.8281  mean=0.6308
[Gen 263] best=0.8289  mean=0.6397
[Gen 264] best=0.8289  mean=0.6492
[Gen 265] best=0.8292  mean=0.6771
[Gen 266] best=0.8292  mean=0.6606
[Gen 267] best=0.8292  mean=0.5795
[Gen 268] best=0.8292  mean=0.6317
[Gen 269] best=0.8292  mean=0.5836
[Gen 270] best=0.8292  mean=0.6493
[Gen 271] best=0.8292  mean=0.6485
[Gen 272] best=0.8296  mean=0.6291
[Gen 273] best=0.8296  mean=0.6081
[Gen 274] best=0.8296  mean=0.6126
[Gen 275] best=0.8296  mean=0.6231
[Gen 276] best=0.8296  mean=0.5920
[Gen 277] best=0.8296  mean=0.6746
